Fecha	Punto_ID	Individuo_ID	Sp_planta	Peso_humedo_g	Peso_seco_g	N_hojas	LDMC	Peso_fruto_g	Peso_sem_g	N_frutos	N_sem
14-7-23	T48	T48C3	Scutia_buxifolia	0.29	0.146	5	496.60	0.917	0.413	5	15
14-7-23	T48	T48C1	Scutia_buxifolia	0.30	0.156	5	514.85				
14-7-23	T50	T50C1	Scutia_buxifolia	0.34	0.182	5	529.07	0.068	0.031	1	3
14-7-23	T48	T48C2	Scutia_buxifolia	0.44	0.236	5	541.28	1.214	0.39	5	15
14-7-23	T48	T48ST1	Jodina_rhombifolia	1.43	0.682	5	476.26				
14-7-23	T48	T48ST2	Jodina_rhombifolia	1.23	0.562	5	456.91				
14-7-23	T41	T41M1	Schinus_longifolius	0.33	0.144	5	439.02				
14-7-23	T41	T41C5	Scutia_buxifolia	0.24	0.144	5	600.00	0.648	0.341	5	15
14-7-23	T41	T41ST3	Jodina_rhombifolia	0.89	0.400	5	449.94				
14-7-23	T41	T41ST2	Jodina_rhombifolia	1.05	0.458	5	434.54				
14-7-23	T40	T40C5	Scutia_buxifolia	0.32	0.191	5	589.51	0.624	0.28	5	15
14-7-23	T40	T40C1	Scutia_buxifolia	0.32	0.171	5	529.41				
14-7-23	T40	T40C3	Scutia_buxifolia	0.24	0.148	5	614.11	0.627	0.267	5	17
14-7-23	T40	T40C2	Scutia_buxifolia	0.28	0.163	5	573.94	0.856	0.287	5	15
14-7-23	T41	T41C4	Scutia_buxifolia	0.31	0.171	5	553.40	0.87	0.442	5	15
14-7-23	T41	T41C3	Scutia_buxifolia	0.16	0.087	5	557.69	0.701	0.265	5	15
14-7-23	T41	T41C1	Scutia_buxifolia	0.19	0.084	5	432.99	0.59	0.273	5	15
14-7-23	T40	T40C4	Scutia_buxifolia	0.29	0.151	5	526.13	0.122	0.051	1	3
14-7-23	T41	T41C2	Scutia_buxifolia	0.21	0.119	5	574.88	0.546	0.209	5	15
20-7-23	T43	T43ST1	Jodina_rhombifolia	1.26	0.573	5	456.57				
20-7-23	T43	T43C1	Scutia_buxifolia	0.23	0.120	5	519.48	0.785	0.335	5	15
20-7-23	T44	T44C2	Scutia_buxifolia	0.23	0.125	5	548.25	0.87	0.296	5	15
20-7-23	T44	T44ST1	Jodina_rhombifolia	1.51	0.777	5	514.23				
20-7-23	T43	T43M1	Schinus_longifolius	0.46	0.196	5	422.41				
20-7-23	T44	T44C5	Scutia_buxifolia	0.07	0.035	3	500.00				
20-7-23	T44	T44C1	Scutia_buxifolia	0.17	0.085	5	512.05		0.187	5	15
20-7-23	T43	T43CU1	Sapium_haematospermum	0.88	0.330	5	373.73				
20-7-23	T43	T43ST2	Jodina_rhombifolia	1.48	0.624	5	422.48				
20-7-23	T44	T44C3	Scutia_buxifolia	0.25	0.131	5	528.23	0.617	0.219	5	15
