habitat	treeID	date	pointID	plant_species	wet_mass_g	dry_mass_g	N_leaves	dist_obs_m	slope_deg	height	observer	height_eyes_m
invaded	L10C1	27-7-23	L10	Scutia_buxifolia	NA	NA	NA	2.38	160	8.07	Agus	1.53
invaded	L10C2	27-7-23	L10	Scutia_buxifolia	NA	NA	NA	3.7	163	13.63	Agus	1.53
invaded	L10C3	27-7-23	L10	Scutia_buxifolia	0.26	0.125	5	4.14	160	12.9	Agus	1.53
invaded	L10L1	27-7-23	L10	Ligustrum_lucidum	NA	NA	NA	4.3	157	11.66	Agus	1.53
invaded	L10L2	27-7-23	L10	Ligustrum_lucidum	NA	NA	NA	2.53	165	10.97	Agus	1.53
invaded	L10L3	27-7-23	L10	Ligustrum_lucidum	NA	NA	NA	4.62	160	14.22	Agus	1.53
invaded	L11L1	3/3/2024	L11	Ligustrum_lucidum	3.04	0.956	5	4.63	147	8.68	Facu	1.55
invaded	L11L2	3/3/2024	L11	Ligustrum_lucidum	1.44	0.429	5	4.44	150	9.24	Facu	1.55
invaded	L11L3	3/3/2024	L11	Ligustrum_lucidum	1.21	0.339	5	4.68	150	9.66	Facu	1.55
invaded	L11L4	3/3/2024	L11	Ligustrum_lucidum	1.7	0.461	5	4.95	144	8.36	Facu	1.55
invaded	L11L5	3/3/2024	L11	Ligustrum_lucidum	NA	NA	NA	5.4	143	8.72	Facu	1.55
invaded	L12L1	12/12/2023	L12	Ligustrum_lucidum	1.09	0.239	5	3.2	152	7.55	Agus	1.53
invaded	L12L2	12/12/2023	L12	Ligustrum_lucidum	3.29	0.745	5	2.83	157	8.2	Agus	1.53
invaded	L12L3	12/12/2023	L12	Ligustrum_lucidum	2.71	0.61	5	3.1	145	5.96	Agus	1.53
invaded	L12L4	12/12/2023	L12	Ligustrum_lucidum	1.35	0.276	5	2.53	160	8.48	Agus	1.53
invaded	L12L5	12/12/2023	L12	Ligustrum_lucidum	1.66	0.389	5	4.71	156	12.11	Agus	1.53
invaded	L12SP41	12/12/2023	L12	NA4	NA	NA	NA	4.52	154	10.8	Agus	1.53
invaded	L12SP42	12/12/2023	L12	NA4	NA	NA	NA	4.7	152	10.37	Agus	1.53
invaded	L12SP43	12/12/2023	L12	NA4	NA	NA	NA	2.07	164	8.75	Agus	1.53
invaded	L12SP44	12/12/2023	L12	NA4	NA	NA	NA	6.36	148	11.71	Agus	1.53
invaded	L12SP45	12/12/2023	L12	NA4	NA	NA	NA	1.73	168	9.67	Agus	1.53
invaded	L13AL1	12/12/2023	L13	Populus_alba	NA	NA	NA	6.07	153	13.44	Agus	1.53
invaded	L13AL2	12/12/2023	L13	Populus_alba	NA	NA	NA	4.94	164	18.76	Agus	1.53
invaded	L13AL3	12/12/2023	L13	Populus_alba	NA	NA	NA	7.65	150	14.78	Agus	1.53
invaded	L13L1	12/12/2023	L13	Ligustrum_lucidum	0.97	0.203	5	3.97	158	11.36	Agus	1.53
invaded	L13L2	12/12/2023	L13	Ligustrum_lucidum	6.27	1.161	5	3.3	159	10.13	Agus	1.53
invaded	L13L3	12/12/2023	L13	Ligustrum_lucidum	0.74	0.156	5	2.87	155	7.68	Agus	1.53
invaded	L13L4	12/12/2023	L13	Ligustrum_lucidum	2.58	0.527	5	4.3	155	10.75	Agus	1.53
invaded	L13L5	12/12/2023	L13	Ligustrum_lucidum	1.17	0.24	5	2.53	160	8.48	Agus	1.53
invaded	L13R1	12/12/2023	L13	Quercus_sp	NA	NA	NA	6.1	154	14.04	Agus	1.53
invaded	L13R2	12/12/2023	L13	Quercus_sp	NA	NA	NA	9.52	153	20.21	Agus	1.53
invaded	L14AR1	12/12/2023	L14	Acer_sp	1.47	0.273	5	4.3	137	6.14	Agus	1.53
invaded	L14AR2	12/12/2023	L14	Acer_sp	1.41	0.248	5	5.88	153	13.07	Agus	1.53
invaded	L14AR3	12/12/2023	L14	Acer_sp	1.52	0.271	5	4.85	155	11.93	Agus	1.53
invaded	L14L1	12/12/2023	L14	Ligustrum_lucidum	2.16	0.473	5	2.51	165	10.9	Agus	1.53
invaded	L14L2	12/12/2023	L14	Ligustrum_lucidum	1.43	0.299	5	2.25	161	8.06	Agus	1.53
invaded	L14L3	12/12/2023	L14	Ligustrum_lucidum	2.88	0.67	5	1.6	159	5.7	Agus	1.53
invaded	L14L4	12/12/2023	L14	Ligustrum_lucidum	1.4	0.293	5	1.13	157	4.19	Agus	1.53
invaded	L14L5	12/12/2023	L14	Ligustrum_lucidum	3.55	0.776	5	4.08	152	9.2	Agus	1.53
invaded	L14SP4	12/12/2023	L14	NA4	NA	NA	NA	7	144	11.16	Agus	1.53
invaded	L15F1	3/3/2024	L15	Fraxinus_sp	1.68	0.457	4	6.78	149	12.83	Facu	1.55
invaded	L15L1	3/3/2024	L15	Ligustrum_lucidum	NA	NA	NA	8.32	159	23.22	Facu	1.55
invaded	L15L2	3/3/2024	L15	Ligustrum_lucidum	NA	NA	NA	8.72	154	19.43	Facu	1.55
invaded	L15L3	3/3/2024	L15	Ligustrum_lucidum	NA	NA	NA	6.42	144	10.39	Facu	1.55
invaded	L15OL1	3/3/2024	L15	Ulmus_populus	2.7	0.873	5	7.25	155	17.1	Facu	1.55
invaded	L15OL2	3/3/2024	L15	Ulmus_populus	NA	NA	NA	7.3	138	9.66	Facu	1.55
invaded	L15OL3	3/3/2024	L15	Ulmus_populus	1.66	0.548	5	8.8	145	14.12	Facu	1.55
invaded	L15OL4	3/3/2024	L15	Ulmus_populus	NA	NA	NA	5	141	7.72	Facu	1.55
invaded	L16L1	15-12-23	L16	Ligustrum_lucidum	2.72	0.489	5	4.12	145	7.51	Fede	1.63
invaded	L16L2	15-12-23	L16	Ligustrum_lucidum	1.32	0.27	5	3.18	144	6.01	Fede	1.63
invaded	L16L3	15-12-23	L16	Ligustrum_lucidum	2.5	0.478	5	5.61	151	11.75	Fede	1.63
invaded	L16L4	15-12-23	L16	Ligustrum_lucidum	1.69	0.333	5	4.21	155	10.66	Fede	1.63
invaded	L16L5	15-12-23	L16	Ligustrum_lucidum	1.96	0.332	5	2.54	152	6.41	Fede	1.63
invaded	L16SP51	15-12-23	L16	NA5	NA	NA	NA	4.28	140	6.73	Fede	1.63
invaded	L16SP61	15-12-23	L16	NA6	NA	NA	NA	3.43	166	15.39	Fede	1.63
invaded	L17E1	15-12-23	L17	Eucalyptus_sp	NA	NA	NA	5.88	166	25.21	Fede	1.63
invaded	L17E2	15-12-23	L17	Eucalyptus_sp	NA	NA	NA	4.06	166	17.91	Fede	1.63
invaded	L17E3	15-12-23	L17	Eucalyptus_sp	NA	NA	NA	2.06	168	11.32	Fede	1.63
invaded	L17E4	15-12-23	L17	Eucalyptus_sp	NA	NA	NA	2.17	167	11.03	Fede	1.63
invaded	L17E5	15-12-23	L17	Eucalyptus_sp	NA	NA	NA	3.44	152	8.1	Fede	1.63
invaded	L17L1	15-12-23	L17	Ligustrum_lucidum	2.54	0.699	5	2.57	146	5.44	Fede	1.63
invaded	L17L2	15-12-23	L17	Ligustrum_lucidum	2.76	0.642	4	4.68	154	11.23	Fede	1.63
invaded	L17L3	15-12-23	L17	Ligustrum_lucidum	1.9	0.549	5	3.42	148	7.1	Fede	1.63
invaded	L17L4	15-12-23	L17	Ligustrum_lucidum	1.3	0.38	5	4.05	122	4.16	Fede	1.63
invaded	L17L5	15-12-23	L17	Ligustrum_lucidum	1.94	0.547	5	3.6	147	7.17	Fede	1.63
invaded	L17MO1	15-12-23	L17	Morus_alba	5.75	1.548	5	3.43	166	15.41	Fede	1.65
invaded	L18L1	15-12-23	L18	Ligustrum_lucidum	1.22	0.258	5	3.51	148	7.25	Fede	1.63
invaded	L18L2	15-12-23	L18	Ligustrum_lucidum	1.38	0.284	5	2.73	150	6.36	Fede	1.63
invaded	L18L3	15-12-23	L18	Ligustrum_lucidum	4.6	1.023	5	1.8	160	6.58	Fede	1.63
invaded	L18L4	15-12-23	L18	Ligustrum_lucidum	1.75	0.348	5	2.11	158	6.85	Fede	1.63
invaded	L18L5	15-12-23	L18	Ligustrum_lucidum	2.47	0.621	5	1.36	154	4.42	Fede	1.63
invaded	L18P1	15-12-23	L18	Ligustrum_lucidum	0.6	0.111	5	2.59	158	8.04	Fede	1.63
